Region,season,year,Metrics,values
Western North Island,Autumn,1994,Number_MHW_days,0.476190476
Western North Island,Autumn,1994,Nevents,0.238095238
Western North Island,Autumn,1994,Mean_Intensity,1.530930298
Western North Island,Autumn,1994,Maximum_Intensity,1.66360061
Western North Island,Autumn,1994,Cumulative_Intensity,0.729014427
Western North Island,Autumn,1995,Number_MHW_days,33.9047619
Western North Island,Autumn,1995,Nevents,1.857142857
Western North Island,Autumn,1995,Mean_Intensity,1.369959494
Western North Island,Autumn,1995,Maximum_Intensity,1.816957121
Western North Island,Autumn,1995,Cumulative_Intensity,47.18772938
Western North Island,Autumn,1996,Number_MHW_days,0
Western North Island,Autumn,1996,Nevents,0
Western North Island,Autumn,1996,Mean_Intensity,0
Western North Island,Autumn,1996,Maximum_Intensity,0
Western North Island,Autumn,1996,Cumulative_Intensity,0
Western North Island,Autumn,1997,Number_MHW_days,0
Western North Island,Autumn,1997,Nevents,0
Western North Island,Autumn,1997,Mean_Intensity,0
Western North Island,Autumn,1997,Maximum_Intensity,0
Western North Island,Autumn,1997,Cumulative_Intensity,0
Western North Island,Autumn,1998,Number_MHW_days,51.95238095
Western North Island,Autumn,1998,Nevents,3.333333333
Western North Island,Autumn,1998,Mean_Intensity,1.406415864
Western North Island,Autumn,1998,Maximum_Intensity,2.049804798
Western North Island,Autumn,1998,Cumulative_Intensity,74.52393391
Western North Island,Autumn,1999,Number_MHW_days,4.714285714
Western North Island,Autumn,1999,Nevents,1.047619048
Western North Island,Autumn,1999,Mean_Intensity,1.223386453
Western North Island,Autumn,1999,Maximum_Intensity,1.418747319
Western North Island,Autumn,1999,Cumulative_Intensity,6.036356994
Western North Island,Autumn,2000,Number_MHW_days,0
Western North Island,Autumn,2000,Nevents,0
Western North Island,Autumn,2000,Mean_Intensity,0
Western North Island,Autumn,2000,Maximum_Intensity,0
Western North Island,Autumn,2000,Cumulative_Intensity,0
Western North Island,Autumn,2001,Number_MHW_days,18.23809524
Western North Island,Autumn,2001,Nevents,1.714285714
Western North Island,Autumn,2001,Mean_Intensity,1.17394092
Western North Island,Autumn,2001,Maximum_Intensity,1.530890705
Western North Island,Autumn,2001,Cumulative_Intensity,22.4666097
Western North Island,Autumn,2002,Number_MHW_days,7.952380952
Western North Island,Autumn,2002,Nevents,0.714285714
Western North Island,Autumn,2002,Mean_Intensity,1.011052943
Western North Island,Autumn,2002,Maximum_Intensity,1.219999967
Western North Island,Autumn,2002,Cumulative_Intensity,8.039042588
Western North Island,Autumn,2003,Number_MHW_days,15
Western North Island,Autumn,2003,Nevents,1.333333333
Western North Island,Autumn,2003,Mean_Intensity,1.048158131
Western North Island,Autumn,2003,Maximum_Intensity,1.25853803
Western North Island,Autumn,2003,Cumulative_Intensity,17.34764722
Western North Island,Autumn,2004,Number_MHW_days,0
Western North Island,Autumn,2004,Nevents,0
Western North Island,Autumn,2004,Mean_Intensity,0
Western North Island,Autumn,2004,Maximum_Intensity,0
Western North Island,Autumn,2004,Cumulative_Intensity,0
Western North Island,Autumn,2005,Number_MHW_days,27.42857143
Western North Island,Autumn,2005,Nevents,1.857142857
Western North Island,Autumn,2005,Mean_Intensity,1.33938126
Western North Island,Autumn,2005,Maximum_Intensity,1.726876176
Western North Island,Autumn,2005,Cumulative_Intensity,36.70112838
Western North Island,Autumn,2006,Number_MHW_days,0
Western North Island,Autumn,2006,Nevents,0
Western North Island,Autumn,2006,Mean_Intensity,0
Western North Island,Autumn,2006,Maximum_Intensity,0
Western North Island,Autumn,2006,Cumulative_Intensity,0
