Scale,Region_Name,Season_Name,Metrics,P_Value_ModifMK,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
Region x Season_12NM,Northeastern New Zealand,Autumn,Nevents,9.120394400855406e-12,0.0272565136476427,9.05962199417839e-5,1994,0.00412875385027144,0.03812413000060514,0,0.867480283180017,0.032258064516129,0.0658047271259802,0.272565136476427,0.3812413000060514,0,0.32258064516129
Region x Season_12NM,Northeastern New Zealand,Spring,Nevents,0.00276772311489328,0.003125,0.122673192061375,1997,0.113914155462143,0.01478998971131147,-0.00672043010752688,0.0144480312064598,0.00470430107526881,0.588978344416033,0.03125,0.1478998971131147,-0.0672043010752688,0.0470430107526881
Region x Season_12NM,Northeastern New Zealand,Summer,Nevents,5.772950378714784e-6,0.0308255517826825,0.00422848757624406,2009,0.044458714572896,0.04006536343279058,0.00556835637480799,0.592968022481833,0.129490469208211,0.198449303592012,0.308255517826825,0.4006536343279058,0.0556835637480799,1.29490469208211
Region x Season_12NM,Northeastern New Zealand,Winter,Nevents,7.106048725713874e-9,0.00806451612903226,0.0122565927251194,1997,0.0172233894740792,0.01049143617987048,0,1,0,1,0.08064516129032259,0.10491436179870484,0,0
Region x Season_12NM,Snares Island,Autumn,Nevents,1.0602608903119625e-7,0.0227272727272727,0.00416362388080753,1998,0.0158391991341563,0.03377110694183859,0,0.179776871182561,0.0384615384615385,0.183335286767584,0.22727272727272704,0.33771106941838597,0,0.38461538461538497
Region x Season_12NM,Snares Island,Spring,Nevents,0.06825350850342238,0,0.057150101246456,1998,0.284652265197787,0.03055816135084421,0,0.433608480938485,0,0.505249888098011,0,0.3055816135084421,0,0
Region x Season_12NM,Snares Island,Summer,Nevents,0.12106941702075584,0,0.416265527827815,1998,0.571840311449418,0.01095215759849907,0,0.24546686154765399,0,0.836372118375462,0,0.1095215759849908,0,0
Region x Season_12NM,Snares Island,Winter,Nevents,0.00969968316778993,0,0.0237427693800592,1998,0.198069083058262,0.02861163227016881,0,1,0,0.468766201608149,0,0.28611632270168813,0,0
Region x Season_12NM,South New Zealand,Autumn,Nevents,2.2924589596937347e-7,0.0217198581560284,0.00450463673424814,1998,0.00986127897978181,0.03143986268013248,0,0.965088688502607,0.00855235711305799,0.584154161961185,0.217198581560284,0.3143986268013248,0,0.0855235711305799
Region x Season_12NM,South New Zealand,Spring,Nevents,0.0089989450948059,0.00467673964436222,0.0477371686335422,1998,0.203895942233581,0.0259550516945431,0,0.226006728358498,0.0154255319148936,0.176609788495473,0.0467673964436222,0.259550516945431,0,0.154255319148936
Region x Season_12NM,South New Zealand,Summer,Nevents,0.0038557345507328,0.0129296235679215,0.116707275551354,2009,0.117652072147861,0.02061594347531036,-0.00602836879432624,0.346702669037266,0.0558510638297872,0.271240886355585,0.129296235679215,0.2061594347531037,-0.0602836879432624,0.558510638297872
Region x Season_12NM,South New Zealand,Winter,Nevents,5.3078406398321485e-5,0.0121580547112462,0.00838162365819326,1996,0.0327915464577378,0.02838808829986824,0,0.948885763472862,0.00151975683890579,0.623890554061609,0.121580547112462,0.2838808829986824,0,0.0151975683890579
Region x Season_12NM,Three Kings-North Cape,Autumn,Nevents,1.1922994373108038e-7,0.0266666666666667,3.50096398006381e-4,1997,0.00943512139231575,0.04133833646028758,0,0.40705946003219,0.0392156862745098,0.178061094900343,0.266666666666667,0.41338336460287584,0,0.392156862745098
Region x Season_12NM,Three Kings-North Cape,Spring,Nevents,0.02480289687471821,0,0.160660174953421,1997,0.377655244490405,0.015978736710444,0,0.0204555958056565,0,0.418340672565572,0,0.15978736710444005,0,0
Region x Season_12NM,Three Kings-North Cape,Summer,Nevents,8.68676407471767e-10,0.0295868347338936,0.00221228927858119,2009,0.013366234692258,0.03205128205128201,0,0.837554083407985,0.111111111111111,0.112017190360512,0.295868347338936,0.32051282051282004,0,1.1111111111111098
Region x Season_12NM,Three Kings-North Cape,Winter,Nevents,2.8603545773967693e-6,0.0116995073891626,0.00126305551021787,1997,0.00658266082902504,0.02998749218261408,0,0.526658305249448,0.0155122655122655,0.406952190829568,0.116995073891626,0.29987492182614084,0,0.155122655122655
Region x Season_12NM,Auckland Island,Autumn,Mean_Intensity,0.01283553900505004,0.00168600757971071,0.0630983820294814,1998,0.248500570788314,0.01229653570966733,0,0.642596388849304,8.85849907253672e-4,0.462804891102035,0.0168600757971071,0.12296535709667336,0,0.00885849907253672
Region x Season_12NM,Auckland Island,Spring,Mean_Intensity,0.5631321637425486,0,0.762996731276765,2012,0.512633413483397,0.00235496471009167,0,0.0995886951186583,0.00383668732760448,0.858027656987521,0,0.02354964710091674,0,0.0383668732760448
Region x Season_12NM,Auckland Island,Summer,Mean_Intensity,0.3280558143852207,0,0.683572789950252,2014,0.701862717226917,0.00271053144782349,0,0.286320596793059,0.037034944699638,1,0,0.0271053144782349,0,0.37034944699638
Region x Season_12NM,Auckland Island,Winter,Mean_Intensity,0.01031818668511213,0.00235485834346724,0.0776001778575874,1996,0.32457554494705,0.00989842615992389,0,0.745961088883831,0.00182245017644603,0.462136560316865,0.0235485834346724,0.09898426159923895,0,0.0182245017644603
Region x Season_12NM,Bounty and Antipodes Islands,Autumn,Mean_Intensity,0.12408988995360762,0,0.223127651570661,2009,0.176057561602557,0.01400778905589623,0,0.167868845646944,0.0358441148696816,0.392153538341356,0,0.1400778905589623,0,0.358441148696816
Region x Season_12NM,Bounty and Antipodes Islands,Spring,Mean_Intensity,0.00729078324279292,0.00267048706895585,0.150943133851417,2009,0.316281982973152,0.00921014971062539,0,0.577495664437049,0.0259833478091275,0.271240886355585,0.0267048706895585,0.09210149710625398,0,0.259833478091275
Region x Season_12NM,Bounty and Antipodes Islands,Summer,Mean_Intensity,0.8335146459990291,0,0.91492749955985,2012,0.816045026285158,0.00127347603723183,-0.00881923412574981,0.122622337178298,0.0303313931998429,0.591505036994917,0,0.01273476037231834,-0.0881923412574981,0.303313931998429
Region x Season_12NM,Bounty and Antipodes Islands,Winter,Mean_Intensity,2.2475589488085305e-4,0.0074403328749102,0.0087119129623796,2009,0.0112464081375155,0.01414727275065473,0,0.722597566366268,0.00898682995182592,0.427710510297464,0.074403328749102,0.14147272750654738,0,0.0898682995182592
Region x Season_12NM,Campbell Island,Autumn,Mean_Intensity,0.10965681510457664,0,0.0638174063791295,2008,29,0.0120413935222141,0,0.594894419516315,0.0145935038481828,0.17047543147055,0,0.12041393522214106,0,0.145935038481828
Region x Season_12NM,Campbell Island,Spring,Mean_Intensity,0.2279211588232488,0,0.504077818785003,2015,0.688195662898825,0.00389632704337297,0,0.432455853745833,0.0197268684219103,0.648582193569624,0,0.03896327043372973,0,0.197268684219103
Region x Season_12NM,Campbell Island,Summer,Mean_Intensity,0.10163404722244032,0,0.488965012651743,2016,0.729615959766342,0.00572197991839596,0,0.465179632913255,0.0834922036114836,0.452370360677361,0,0.05721979918395963,0,0.834922036114836
Region x Season_12NM,Campbell Island,Winter,Mean_Intensity,0.01261316650067897,0.00264646363881844,0.0060860116296765,1999,0.0327915464577378,0.01263979861049547,0,0.628967844730379,0.00342925866078471,0.320877931470596,0.0264646363881844,0.12639798610495476,0,0.0342925866078471
Region x Season_12NM,Central New Zealand,Autumn,Mean_Intensity,0.4010683459653404,0.00268031621641128,0.356802637566297,2014,0.648058991085636,0.01850540272975069,-0.00167932267761085,0.721026968437718,-0.00149766483461371,1,0.02680316216411279,0.18505402729750697,-0.0167932267761085,-0.0149766483461371
Region x Season_12NM,Central New Zealand,Spring,Mean_Intensity,0.02636733614992797,0.00765051552778026,0.0526473996392981,1997,0.181369539729631,0.01918251134638314,-0.00552231924282117,0.403869739467297,0.00525602671046932,0.413686226993168,0.07650515527780259,0.19182511346383144,-0.0552231924282117,0.0525602671046932
Region x Season_12NM,Central New Zealand,Summer,Mean_Intensity,0.0029575519967677,0.00895834095725007,0.0126493918188216,2009,0.0382379810052845,0.019688694592813,-0.00102523361712726,0.874391387978976,0.0365444820003011,0.127203687631099,0.08958340957250069,0.19688694592813005,-0.0102523361712726,0.36544482000301104
Region x Season_12NM,Central New Zealand,Winter,Mean_Intensity,0.228837256820373,0.00376205947388313,0.125251457747583,1996,0.0534560476293628,0.02002679731277865,0,0.665770923176588,-0.00479102408609654,0.270427963910375,0.0376205947388313,0.20026797312778655,0,-0.0479102408609654
Region x Season_12NM,Chatham Island,Autumn,Mean_Intensity,8.47277153043864e-4,0.0130398778286365,0.0298468851760429,1996,0.146733185683281,0.0216505646265729,0,0.513435678994792,0.00949359779995443,0.289040498517938,0.130398778286365,0.21650564626572905,0,0.0949359779995443
Region x Season_12NM,Chatham Island,Spring,Mean_Intensity,9.447489368553522e-4,0.00644287828667523,0.0358467663042607,2012,0.160860351384194,0.01528490432359662,0,0.85953166932693,0.0163142581948825,0.591505036994917,0.0644287828667523,0.1528490432359662,0,0.163142581948825
Region x Season_12NM,Chatham Island,Summer,Mean_Intensity,0.00759142295383922,0.00414603682955501,0.130417533167098,2012,0.22218134614896,0.0099599577459891,0,0.629555537104731,0.0663468251753152,0.283130870662347,0.0414603682955501,0.09959957745989104,0,0.663468251753152
Region x Season_12NM,Chatham Island,Winter,Mean_Intensity,5.2291711414217125e-5,0.0134052955503797,1.58264041560475e-4,1996,0.00131743813623019,0.02454322876359348,0,0.390962787331383,0.00528105715405726,0.175773030558067,0.134052955503797,0.24543228763593483,0,0.05281057154057259
Region x Season_12NM,Kermadec Island,Autumn,Mean_Intensity,6.36680703566149e-4,0.00855715282840177,0.0299911985658104,1994,0.0686619468434076,0.01834506837444044,0,0.598437805415565,0.00133439354540619,0.691121497021136,0.08557152828401769,0.1834506837444044,0,0.0133439354540619
Region x Season_12NM,Kermadec Island,Spring,Mean_Intensity,0.00807280586834355,0.00689900332728341,0.0379650109301347,1997,0.269747901692371,0.01803080120021505,0,0.636977340485933,0.00818806436954919,0.147209660006986,0.06899003327283411,0.1803080120021505,0,0.0818806436954919
Region x Season_12NM,Kermadec Island,Summer,Mean_Intensity,0.03376714068581953,0.00492795677329187,0.144304618547333,2007,0.426311692910232,0.0196950029226601,0,0.945032774864119,0,0.96035280145056,0.04927956773291869,0.196950029226601,0,0
Region x Season_12NM,Kermadec Island,Winter,Mean_Intensity,0.0358367284099232,0.00516951743787512,0.00299943016141859,2001,0.007210487806071,0.03110011217677065,0,0.792335179284585,5.26083699647129e-4,0.784191229401619,0.0516951743787512,0.31100112176770656,0,0.00526083699647129
Region x Season_12NM,Northeastern New Zealand,Autumn,Mean_Intensity,0.00271020954837173,0.0129967184351867,6.335482192947e-4,1994,0.00573404234439216,0.02829707129504079,0,0.738591001880065,0.00537274072261302,0.268225777221084,0.129967184351867,0.28297071295040793,0,0.05372740722613019
