ECOREGION,season,year,Metrics,values
Kermadec Island,Autumn,2003,Mean_Intensity,1.3511268844307793
Kermadec Island,Autumn,2003,Maximum_Intensity,1.5637200305175782
Kermadec Island,Autumn,2003,Cumulative_Intensity,11.290341723887126
Kermadec Island,Autumn,2004,Number_MHW_days,0
Kermadec Island,Autumn,2004,Nevents,0
Kermadec Island,Autumn,2004,Mean_Intensity,0
Kermadec Island,Autumn,2004,Maximum_Intensity,0
Kermadec Island,Autumn,2004,Cumulative_Intensity,0
Kermadec Island,Autumn,2005,Number_MHW_days,28.666666666666668
Kermadec Island,Autumn,2005,Nevents,2.3333333333333335
Kermadec Island,Autumn,2005,Mean_Intensity,1.2555216203265895
Kermadec Island,Autumn,2005,Maximum_Intensity,1.7612331489562987
Kermadec Island,Autumn,2005,Cumulative_Intensity,36.23369172388713
Kermadec Island,Autumn,2006,Number_MHW_days,1.9166666666666667
Kermadec Island,Autumn,2006,Nevents,0.3333333333333333
Kermadec Island,Autumn,2006,Mean_Intensity,1.026440839419895
Kermadec Island,Autumn,2006,Maximum_Intensity,1.101400228881836
Kermadec Island,Autumn,2006,Cumulative_Intensity,1.9788163042704268
Kermadec Island,Autumn,2007,Number_MHW_days,6.083333333333333
Kermadec Island,Autumn,2007,Nevents,0.5
Kermadec Island,Autumn,2007,Mean_Intensity,1.204439578818487
Kermadec Island,Autumn,2007,Maximum_Intensity,1.510549675750732
Kermadec Island,Autumn,2007,Cumulative_Intensity,7.214275311533611
Kermadec Island,Autumn,2008,Number_MHW_days,6.166666666666667
Kermadec Island,Autumn,2008,Nevents,0.75
Kermadec Island,Autumn,2008,Mean_Intensity,1.1961786544031212
Kermadec Island,Autumn,2008,Maximum_Intensity,1.5868398626708988
Kermadec Island,Autumn,2008,Cumulative_Intensity,7.624566316986083
Kermadec Island,Autumn,2009,Number_MHW_days,13.583333333333334
Kermadec Island,Autumn,2009,Nevents,1.5833333333333333
Kermadec Island,Autumn,2009,Mean_Intensity,1.2277608270434939
Kermadec Island,Autumn,2009,Maximum_Intensity,1.6763248982747392
Kermadec Island,Autumn,2009,Cumulative_Intensity,16.980191571299233
Kermadec Island,Autumn,2010,Number_MHW_days,5.083333333333333
Kermadec Island,Autumn,2010,Nevents,0.8333333333333334
Kermadec Island,Autumn,2010,Mean_Intensity,0.9266940633523785
Kermadec Island,Autumn,2010,Maximum_Intensity,1.1141202288818364
Kermadec Island,Autumn,2010,Cumulative_Intensity,4.775083079020182
Kermadec Island,Autumn,2011,Number_MHW_days,12.083333333333334
Kermadec Island,Autumn,2011,Nevents,1.3333333333333333
Kermadec Island,Autumn,2011,Mean_Intensity,1.2201218916273187
Kermadec Island,Autumn,2011,Maximum_Intensity,1.410008333333333
Kermadec Island,Autumn,2011,Cumulative_Intensity,14.08427489827474
Kermadec Island,Autumn,2012,Number_MHW_days,4.333333333333333
Kermadec Island,Autumn,2012,Nevents,0.6666666666666666
Kermadec Island,Autumn,2012,Mean_Intensity,1.0876794244128676
Kermadec Island,Autumn,2012,Maximum_Intensity,1.2426498855590822
Kermadec Island,Autumn,2012,Cumulative_Intensity,4.9008746884663905
Kermadec Island,Autumn,2013,Number_MHW_days,0
Kermadec Island,Autumn,2013,Nevents,0
Kermadec Island,Autumn,2013,Mean_Intensity,0
Kermadec Island,Autumn,2013,Maximum_Intensity,0
Kermadec Island,Autumn,2013,Cumulative_Intensity,0
Kermadec Island,Autumn,2014,Number_MHW_days,47.916666666666664
Kermadec Island,Autumn,2014,Nevents,3.1666666666666665
Kermadec Island,Autumn,2014,Mean_Intensity,1.2894468652282713
Kermadec Island,Autumn,2014,Maximum_Intensity,1.7894752034505208
Kermadec Island,Autumn,2014,Cumulative_Intensity,62.982557697550455
Kermadec Island,Autumn,2015,Number_MHW_days,0
Kermadec Island,Autumn,2015,Nevents,0
Kermadec Island,Autumn,2015,Mean_Intensity,0
Kermadec Island,Autumn,2015,Maximum_Intensity,0
Kermadec Island,Autumn,2015,Cumulative_Intensity,0
Kermadec Island,Autumn,2016,Number_MHW_days,51.25
Kermadec Island,Autumn,2016,Nevents,1.5833333333333333
Kermadec Island,Autumn,2016,Mean_Intensity,1.360646412135221
Kermadec Island,Autumn,2016,Maximum_Intensity,1.8268700534057618
Kermadec Island,Autumn,2016,Cumulative_Intensity,74.91424196548462
Kermadec Island,Autumn,2017,Number_MHW_days,74.41666666666667
Kermadec Island,Autumn,2017,Nevents,2.5
Kermadec Island,Autumn,2017,Mean_Intensity,1.430784309592308
Kermadec Island,Autumn,2017,Maximum_Intensity,2.0419916094462076
Kermadec Island,Autumn,2017,Cumulative_Intensity,106.42817618891398
Kermadec Island,Autumn,2018,Number_MHW_days,86.66666666666667
Kermadec Island,Autumn,2018,Nevents,1.0833333333333333
Kermadec Island,Autumn,2018,Mean_Intensity,1.5207797510502432
Kermadec Island,Autumn,2018,Maximum_Intensity,2.271241793823242
Kermadec Island,Autumn,2018,Cumulative_Intensity,132.21280113805133
Kermadec Island,Autumn,2019,Number_MHW_days,39.416666666666664
Kermadec Island,Autumn,2019,Nevents,0.8333333333333334
Kermadec Island,Autumn,2019,Mean_Intensity,1.244794209348199
Kermadec Island,Autumn,2019,Maximum_Intensity,1.7164000858306885
Kermadec Island,Autumn,2019,Cumulative_Intensity,48.718723842875164
Kermadec Island,Autumn,2020,Number_MHW_days,16
Kermadec Island,Autumn,2020,Nevents,1.0833333333333333
Kermadec Island,Autumn,2020,Mean_Intensity,1.869550995903651
Kermadec Island,Autumn,2020,Maximum_Intensity,2.3718916857401537
Kermadec Island,Autumn,2020,Cumulative_Intensity,29.958676163482668
Kermadec Island,Autumn,2021,Number_MHW_days,0
Kermadec Island,Autumn,2021,Nevents,0
Kermadec Island,Autumn,2021,Mean_Intensity,0
